,LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,chain,FULL ADDRESS,lat,lon
128990,0000796051-0015-1,THE VONS COMPANIES INC,VONS 2226,14845 VENTURA BLVD,SHERMAN OAKS,91403-3620,14845 VENTURA 91403-3620,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),4,08/01/1988,,"(34.1522, -118.4565)",1,"14845 VENTURA BLVD, SHERMAN OAKS, CA 91403-3620",34.1533237,-118.4566629
128991,0000796051-0016-9,THE VONS COMPANIES INC,VONS 2225,6534 PLATT AVENUE,CANOGA PARK,91307-3218,6534 PLATT 91307-3218,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),12,08/29/1988,,"(34.1887, -118.6426)",1,"6534 PLATT AVENUE, CANOGA PARK, CA 91307-3218",34.1891906,-118.6413936
128992,0000796051-0017-7,THE VONS COMPANIES INC,VONS 2229,727 VINE STREET,LOS ANGELES,90038-3713,727 VINE 90038-3713,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,08/29/1988,,"(34.0844, -118.3266)",1,"727 VINE STREET, LOS ANGELES, CA 90038-3713",34.0844268,-118.3270765
128993,0000796051-0018-5,THE VONS COMPANIES INC,VONS 2261,3461 W 3RD STREET,LOS ANGELES,90020-1604,3461 3RD 90020-1604,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,08/29/1988,,"(34.069, -118.2903)",1,"3461 W 3RD STREET, LOS ANGELES, CA 90020-1604",34.069964,-118.2909028
128994,0000796051-0019-3,THE VONS COMPANIES INC,VONS 2266,17380 W SUNSET BLVD,PACIFIC PALISADES,90272-4102,17380 SUNSET 90272-4102,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),11,08/29/1988,,"(34.0395, -118.5546)",1,"17380 W SUNSET BLVD, PACIFIC PALISADES, CA 90272-4102",34.0392765,-118.5539738
128995,0000796051-0021-5,THE VONS COMPANIES INC,VONS 2268,1430 S FAIRFAX AVENUE,LOS ANGELES,90019-3745,1430 FAIRFAX 90019-3745,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),10,08/29/1988,,"(34.05, -118.3668)",1,"1430 S FAIRFAX AVENUE, LOS ANGELES, CA 90019-3745",34.0505748,-118.3662433
128996,0000796051-0022-3,THE VONS COMPANIES INC,VONS 2283,1221 S GAFFEY STREET,SAN PEDRO,90731-4014,1221 GAFFEY 90731-4014,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),15,08/29/1988,,"(33.7326, -118.2923)",1,"1221 S GAFFEY STREET, SAN PEDRO, CA 90731-4014",33.7328834,-118.2937508
128997,0000796051-0024-0,THE VONS COMPANIES INC,VONS 2655,7311 N FIGUEROA STREET,LOS ANGELES,90041-2512,7311 FIGUEROA 90041-2512,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),14,08/29/1988,,"(34.1358, -118.1885)",1,"7311 N FIGUEROA STREET, LOS ANGELES, CA 90041-2512",34.1361551,-118.1895508
128998,0000796051-0025-8,THE VONS COMPANIES INC,VONS 2665,4520 W SUNSET BLVD,LOS ANGELES,90027-6057,4520 SUNSET 90027-6057,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,08/29/1988,,"(34.0981, -118.2882)",1,"4520 W SUNSET BLVD, LOS ANGELES, CA 90027-6057",34.0970678,-118.2879838
128999,0000796051-0026-6,THE VONS COMPANIES INC,VONS 3263,1342 N ALVARADO STREET,LOS ANGELES,90026-3129,1342 ALVARADO 90026-3129,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,08/29/1988,,"(34.0796, -118.2621)",1,"1342 N ALVARADO STREET, LOS ANGELES, CA 90026-3129",34.0796791,-118.2613266
129000,0000796051-0028-2,THE VONS COMPANIES INC,VONS 2250,16830 SAN FERNANDO MISSION BLVD,GRANADA HILLS,91344-4247,16830 SAN FERNANDO MISSION 91344-4247,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),12,05/01/1990,,"(34.272, -118.4996)",1,"16830 SAN FERNANDO MISSION BLVD, GRANADA HILLS, CA 91344-4247",34.2709647,-118.4988758
129001,0000796051-0029-1,THE VONS COMPANIES INC,VONS 1671,20440 DEVONSHIRE STREET,CHATSWORTH,91311-3412,20440 DEVONSHIRE 91311-3412,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),12,12/19/1998,,"(34.2572, -118.5783)",1,"20440 DEVONSHIRE STREET, CHATSWORTH, CA 91311-3412",34.256855,-118.5787704
129002,0000796051-0030-4,THE VONS COMPANIES INC,VONS 1673,8201 TOPANGA CANYON BLVD,CANOGA PARK,91304-3800,8201 TOPANGA CANYON 91304-3800,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),3,01/16/1999,,"(34.2175, -118.6059)",1,"8201 TOPANGA CANYON BLVD, CANOGA PARK, CA 91304-3800",34.218311,-118.6072996
129003,0000796051-0031-2,THE VONS COMPANIES INC,VONS 1674,4033 LAUREL CANYON BLVD,STUDIO CITY,91604-2016,4033 LAUREL CANYON 91604-2016,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),2,01/16/1999,,"(34.1445, -118.3956)",1,"4033 LAUREL CANYON BLVD, STUDIO CITY, CA 91604-2016",34.1445719,-118.396122
129004,0000796051-0032-1,THE VONS COMPANIES INC,VONS #2720 | VONS 2720,19800 VENTURA BLVD,WOODLAND HILLS,91364-2626,19800 VENTURA 91364-2626,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100.0,Grocery stores (including supermarkets & convenience stores without gas),3,06/09/2011,,"(34.1723, -118.5646)",1,"19800 VENTURA BLVD, WOODLAND HILLS, CA 91364-2626",34.1716601,-118.5645202
130828,0000804487-0001-5,MOTHERS NUTRITIONAL CENTER INC,MOTHERS NUTRITIONAL CENTER,3665 CRENSHAW BLVD,LOS ANGELES,90016-4849,3665 CRENSHAW 90016-4849,13635 FREEWAY DRIVE,SANTA FE SPRINGS,90670-5622,445100.0,Grocery stores (including supermarkets & convenience stores without gas),10,03/03/1998,,"(34.0209, -118.3351)",1,"3665 CRENSHAW BLVD, LOS ANGELES, CA 90016-4849",34.0209377,-118.3354862
287566,0002429401-0001-5,NUMERO UNO ACQUISITIONS LLC,NUMERO UNO MARKET,4373 S VERMONT AVENUE,LOS ANGELES,90037-2411,4373 VERMONT 90037-2411,6701 WILSON AVENUE,LOS ANGELES,90001-2165,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,04/17/2009,,"(34.004, -118.2915)",1,"4373 S VERMONT AVENUE, LOS ANGELES, CA 90037-2411",34.0041301,-118.2915578
287567,0002429401-0002-3,NUMERO UNO ACQUISITIONS LLC,NUMERO UNO MARKET,4710 S BROADWAY,LOS ANGELES,90037-3245,4710 BROADWAY 90037-3245,6701 WILSON AVENUE,LOS ANGELES,90001-2165,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,04/17/2009,,"(34.0007, -118.2783)",1,"4710 S BROADWAY, LOS ANGELES, CA 90037-3245",34.000852,-118.2783096
287569,0002429401-0004-0,NUMERO UNO ACQUISITIONS LLC,NUMERO UNO MARKET,701 E JERFFERSON BLVD,LOS ANGELES,90011-,701 JERFFERSON 90011,6701 WILSON AVENUE,LOS ANGELES,90001-2165,445100.0,Grocery stores (including supermarkets & convenience stores without gas),0,04/17/2009,,"(0, 0)",1,"701 E JERFFERSON BLVD, LOS ANGELES, CA 90011-",34.0153666,-118.2646046
287570,0002429401-0005-8,NUMERO UNO ACQUISITIONS LLC,NUMERO UNO MARKET,1309 S ALVARADO STREET,LOS ANGELES,90006-4901,1309 ALVARADO 90006-4901,6701 WILSON AVENUE,LOS ANGELES,90001-2165,445100.0,Grocery stores (including supermarkets & convenience stores without gas),1,04/17/2009,,"(34.0467, -118.2829)",1,"1309 S ALVARADO STREET, LOS ANGELES, CA 90006-4901",34.0462916,-118.2836387
287571,0002429401-0006-6,NUMERO UNO ACQUISITIONS LLC,NUMERO UNO MARKET,310 E MANCHESTER AVENUE,LOS ANGELES,90003-3522,310 MANCHESTER 90003-3522,6701 WILSON AVENUE,LOS ANGELES,90001-2165,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,04/17/2009,,"(33.96, -118.2689)",1,"310 E MANCHESTER AVENUE, LOS ANGELES, CA 90003-3522",33.959788,-118.26875
287572,0002429401-0007-4,NUMERO UNO ACQUISITIONS LLC,NUMERO UNO MARKET,9127 S FIGUEROA STREET,LOS ANGELES,90003-3905,9127 FIGUEROA 90003-3905,6701 WILSON AVENUE,LOS ANGELES,90001-2165,445100.0,Grocery stores (including supermarkets & convenience stores without gas),8,04/17/2009,,"(33.9537, -118.2826)",1,"9127 S FIGUEROA STREET, LOS ANGELES, CA 90003-3905",33.9534779,-118.283135
287574,0002429401-0009-1,NUMERO UNO ACQUISITIONS LLC,NUMERO UNO MARKET,2214 S SAN PEDRO STREET,LOS ANGELES,90011-1128,2214 SAN PEDRO 90011-1128,6701 WILSON AVENUE,LOS ANGELES,90001-2165,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,04/17/2009,,"(34.0247, -118.2592)",1,"2214 S SAN PEDRO STREET, LOS ANGELES, CA 90011-1128",34.0242487,-118.2593166
287575,0002429401-0012-1,NUMERO UNO ACQUISITIONS LLC,NUMERO UNO MARKET,1831 W 3RD STREET,LOS ANGELES,90057-2301,1831 3RD 90057-2301,6701 WILSON AVENUE,LOS ANGELES,90001-2165,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,05/20/2013,,"(34.0615, -118.2694)",1,"1831 W 3RD STREET, LOS ANGELES, CA 90057-2301",34.0623669,-118.2693032
439964,0002718738-0001-5,"FRESH & EASY, LLC",FRESH & EASY # 1030,7021 HOLLYWOOD BLVD SUITE #110,LOS ANGELES,90028-6027,7021 HOLLYWOOD 90028-6027,2120 PARK PLACE SUITE #200,EL SEGUNDO,90245-4741,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,11/26/2013,,"(34.1015, -118.3423)",1,"7021 HOLLYWOOD BLVD SUITE #110, LOS ANGELES, CA 90028-6027",34.1023128,-118.3427565
439965,0002718738-0002-3,"FRESH & EASY, LLC",FRESH & EASY #1074,26640 WESTERN AVENUE SUITE #E,HARBOR CITY,90710-3658,26640 WESTERN 90710-3658,2120 PARK PLACE SUITE #200,EL SEGUNDO,90245-4741,445100.0,Grocery stores (including supermarkets & convenience stores without gas),0,11/26/2013,,"(33.78, -118.3095)",1,"26640 WESTERN AVENUE SUITE #E, HARBOR CITY, CA 90710-3658",33.779982,-118.308877
439966,0002718738-0003-1,"FRESH & EASY, LLC",FRESH & EASY # 1239,1025 E ADAMS BLVD,LOS ANGELES,90011-5522,1025 ADAMS 90011-5522,2120 PARK PLACE SUITE #200,EL SEGUNDO,90245-4741,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,11/26/2013,,"(34.0189, -118.2554)",1,"1025 E ADAMS BLVD, LOS ANGELES, CA 90011-5522",34.0192705,-118.2554966
439967,0002718738-0004-0,"FRESH & EASY, LLC",FRESH & EASY # 1352,11900 BALBOA BLVD,GRANADA HILLS,91344-2755,11900 BALBOA 91344-2755,2120 PARK PLACE SUITE #200,EL SEGUNDO,90245-4741,445100.0,Grocery stores (including supermarkets & convenience stores without gas),12,11/26/2013,,"(34.2867, -118.502)",1,"11900 BALBOA BLVD, GRANADA HILLS, CA 91344-2755",34.2863782,-118.5011936
439968,0002718738-0005-8,"FRESH & EASY, LLC",FRESH & EASY # 1409,19350 NORDHOFF STREET UNIT #A,NORTHRIDGE,91324-2510,19350 NORDHOFF 91324-2510,2120 PARK PLACE SUITE #200,EL SEGUNDO,90245-4741,445100.0,Grocery stores (including supermarkets & convenience stores without gas),12,11/26/2013,,"(34.2354, -118.5552)",1,"19350 NORDHOFF STREET UNIT #A, NORTHRIDGE, CA 91324-2510",34.2337783,-118.555876
439969,0002718738-0006-6,"FRESH & EASY, LLC",FRESH & EASY # 1421,13207 GLADSTONE AVENUE SUITE #B,SYLMAR,91342-3116,13207 GLADSTONE 91342-3116,2120 PARK PLACE SUITE #200,EL SEGUNDO,90245-4741,445100.0,Grocery stores (including supermarkets & convenience stores without gas),7,11/26/2013,,"(34.3106, -118.428)",1,"13207 GLADSTONE AVENUE SUITE #B, SYLMAR, CA 91342-3116",34.3099672,-118.4291952
439970,0002718738-0007-4,"FRESH & EASY, LLC",FRESH & EASY # 1457,12811 SHERMAN WAY,NORTH HOLLYWOOD,91605-5034,12811 SHERMAN 91605-5034,2120 PARK PLACE SUITE #200,EL SEGUNDO,90245-4741,445100.0,Grocery stores (including supermarkets & convenience stores without gas),2,11/26/2013,,"(34.2012, -118.4118)",1,"12811 SHERMAN WAY, NORTH HOLLYWOOD, CA 91605-5034",34.2019124,-118.4124457
439971,0002718738-0008-2,"FRESH & EASY, LLC",FRESH & EASY # 1463,3335 S FIGUEROA STREET SUITE #B,LOS ANGELES,90007-3841,3335 FIGUEROA 90007-3841,2120 PARK PLACE SUITE #200,EL SEGUNDO,90245-4741,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,11/26/2013,,"(34.0216, -118.2801)",1,"3335 S FIGUEROA STREET SUITE #B, LOS ANGELES, CA 90007-3841",34.0227992,-118.2798382
439972,0002718738-0009-1,"FRESH & EASY, LLC",FRESH & EASY # 1469,1788 S LA CIENEGA BLVD,LOS ANGELES,90035-4602,1788 LA CIENEGA 90035-4602,2120 PARK PLACE SUITE #200,EL SEGUNDO,90245-4741,445100.0,Grocery stores (including supermarkets & convenience stores without gas),10,11/26/2013,,"(34.0448, -118.3767)",1,"1788 S LA CIENEGA BLVD, LOS ANGELES, CA 90035-4602",34.0448229,-118.3764422
439973,0002718738-0010-4,"FRESH & EASY, LLC",FRESH & EASY # 1471,6350 FOOTHILL BLVD,TUJUNGA,91042-2701,6350 FOOTHILL 91042-2701,2120 PARK PLACE SUITE #200,EL SEGUNDO,90245-4741,445100.0,Grocery stores (including supermarkets & convenience stores without gas),7,11/26/2013,,"(34.2424, -118.2693)",1,"6350 FOOTHILL BLVD, TUJUNGA, CA 91042-2701",34.2427744,-118.2699524
439974,0002718738-0011-2,"FRESH & EASY, LLC",FRESH & EASY # 1472,603 S GAFFEY STREET,SAN PEDRO,90731-3026,603 GAFFEY 90731-3026,2120 PARK PLACE SUITE #200,EL SEGUNDO,90245-4741,445100.0,Grocery stores (including supermarkets & convenience stores without gas),15,11/26/2013,,"(33.7387, -118.2923)",1,"603 S GAFFEY STREET, SAN PEDRO, CA 90731-3026",33.7386389,-118.2926398
439975,0002718738-0012-1,"FRESH & EASY, LLC",FRESH & EASY # 1491,15630 VENTURA BLVD,ENCINO,91436-3141,15630 VENTURA 91436-3141,2120 PARK PLACE SUITE #200,EL SEGUNDO,90245-4741,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,11/26/2013,,"(34.1551, -118.4742)",1,"15630 VENTURA BLVD, ENCINO, CA 91436-3141",34.154789,-118.4745793
439976,0002718738-0013-9,"FRESH & EASY, LLC",FRESH & EASY # 1003,4211 EAGLE ROCK BLVD,LOS ANGELES,90065-4404,4211 EAGLE ROCK 90065-4404,2120 PARK PLACE SUITE #200,EL SEGUNDO,90245-4741,445100.0,Grocery stores (including supermarkets & convenience stores without gas),14,11/26/2013,,"(34.1221, -118.2249)",1,"4211 EAGLE ROCK BLVD, LOS ANGELES, CA 90065-4404",34.1221248,-118.2249216
439977,0002718738-0014-7,"FRESH & EASY, LLC",FRESH & EASY 1083,15230 VANOWEN STREET,VAN NUYS,91405-3607,15230 VANOWEN 91405-3607,2120 PARK PLACE SUITE #200,EL SEGUNDO,90245-4741,445100.0,Grocery stores (including supermarkets & convenience stores without gas),6,11/26/2013,,"(34.1939, -118.4647)",1,"15230 VANOWEN STREET, VAN NUYS, CA 91405-3607",34.1936796,-118.4651066
